source,expansion,class_key,class_name,effect_text,effect_key,effect_confidence,descriptor,deck_id,card_id,xws,image_path,image_sha1
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133809,,cards/by_class/gh1_mod_json/beast_tyrant/133809_attack_modifier_0_heal_1_rolling.png,46b254a60ac38685fa35f9efbe4bfe7587156e3b
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133810,,cards/by_class/gh1_mod_json/beast_tyrant/133810_attack_modifier_0_heal_1_rolling.png,f5e6729dddbcf8c5e42d89f8897e1474d5d515f6
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133811,,cards/by_class/gh1_mod_json/beast_tyrant/133811_attack_modifier_0_heal_1_rolling.png,8ae4e15f37a400286e3a543c0d88974139512e55
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133812,,cards/by_class/gh1_mod_json/beast_tyrant/133812_attack_modifier_0_heal_1_rolling.png,72b4d97e447c151436583ac5d177a74dfff70f61
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133813,,cards/by_class/gh1_mod_json/beast_tyrant/133813_attack_modifier_0_heal_1_rolling.png,31831fe19377cbca00bdda8f22a85d0591697fe8
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1338,133814,,cards/by_class/gh1_mod_json/beast_tyrant/133814_attack_modifier_0_heal_1_rolling.png,81c6e68ed0285eab45a69151cd84dbacfd152178
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Infuse Earth) (Rolling),text__0_infuse_earth_rolling,high,Attack Modifier (+0) (Infuse Earth) (Rolling),1338,133815,,cards/by_class/gh1_mod_json/beast_tyrant/133815_attack_modifier_0_infuse_earth_rolling.png,df82471020bd9f6d0f64a89fd36a9bb89650e3db
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+0) (Infuse Earth) (Rolling),text__0_infuse_earth_rolling,high,Attack Modifier (+0) (Infuse Earth) (Rolling),1338,133816,,cards/by_class/gh1_mod_json/beast_tyrant/133816_attack_modifier_0_infuse_earth_rolling.png,5e18ca34a5b92c56a78ab6a2a830192e8c835bff
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1),text__1,high,Attack Modifier (+1),1338,133800,,cards/by_class/gh1_mod_json/beast_tyrant/133800_attack_modifier_1.png,9ed9888a12bc7b2f23d0fa27a0e7089adf868386
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1),text__1,high,Attack Modifier (+1),1338,133801,,cards/by_class/gh1_mod_json/beast_tyrant/133801_attack_modifier_1.png,1a5319371916aec94edded36d1b2a7382db1eb71
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1),text__1,high,Attack Modifier (+1),1338,133802,,cards/by_class/gh1_mod_json/beast_tyrant/133802_attack_modifier_1.png,ca478d5597eaf20d69301f45879234200afc082a
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1) (Immobilize),text__1_immobilize,high,Attack Modifier (+1) (Immobilize),1338,133807,,cards/by_class/gh1_mod_json/beast_tyrant/133807_attack_modifier_1_immobilize.png,95bd12656098eed42903793d6dde2f2cb01399e1
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1) (Immobilize),text__1_immobilize,high,Attack Modifier (+1) (Immobilize),1338,133808,,cards/by_class/gh1_mod_json/beast_tyrant/133808_attack_modifier_1_immobilize.png,1e92a167b669a7eecbe0aee840b745279e660ce7
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1) (Wound),text__1_wound,high,Attack Modifier (+1) (Wound),1338,133805,,cards/by_class/gh1_mod_json/beast_tyrant/133805_attack_modifier_1_wound.png,9b8c26cef48507643010079f61fbac359c318768
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+1) (Wound),text__1_wound,high,Attack Modifier (+1) (Wound),1338,133806,,cards/by_class/gh1_mod_json/beast_tyrant/133806_attack_modifier_1_wound.png,9a88bb63c9fe8b75cb3763a061e8760c8c6a9f82
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+2),text__2,high,Attack Modifier (+2),1338,133803,,cards/by_class/gh1_mod_json/beast_tyrant/133803_attack_modifier_2.png,5a59a162eafaeab9e66702847ffa83dd92d65e54
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,(+2),text__2,high,Attack Modifier (+2),1338,133804,,cards/by_class/gh1_mod_json/beast_tyrant/133804_attack_modifier_2.png,e052cabd6f01624b6336746221d178f522aaadfb
gh1_mod_json,gloomhaven,beast_tyrant,Beast Tyrant,Bear Treat,text__bear_treat,high,Bear Treat,1339,133900,,cards/by_class/gh1_mod_json/beast_tyrant/133900_bear_treat.png,6da5c1d0a5aa756cf30d11e0c16ef0509305c2f4
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1342,134213,,cards/by_class/gh1_mod_json/berserker/134213_attack_modifier_0_heal_1_rolling.png,cc7c6f319a638d1de84fd056f9e5a988d820d8d4
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1342,134214,,cards/by_class/gh1_mod_json/berserker/134214_attack_modifier_0_heal_1_rolling.png,599d8df7bae1af6fbe16d69fe746eaeaf4270e63
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Stun) (Rolling),text__0_stun_rolling,high,Attack Modifier (+0) (Stun) (Rolling),1342,134210,,cards/by_class/gh1_mod_json/berserker/134210_attack_modifier_0_stun_rolling.png,2362eca76ced6331f8d15afc8607376faad0b406
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Stun) (Rolling),text__0_stun_rolling,high,Attack Modifier (+0) (Stun) (Rolling),1342,134211,,cards/by_class/gh1_mod_json/berserker/134211_attack_modifier_0_stun_rolling.png,36aa876900df972ae33fbd866942f3b939fd04fd
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Wound) (Rolling),text__0_wound_rolling,high,Attack Modifier (+0) (Wound) (Rolling),1342,134202,,cards/by_class/gh1_mod_json/berserker/134202_attack_modifier_0_wound_rolling.png,228933b1286411cbf3a6d70ccab52ae9433f45b3
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Wound) (Rolling),text__0_wound_rolling,high,Attack Modifier (+0) (Wound) (Rolling),1342,134203,,cards/by_class/gh1_mod_json/berserker/134203_attack_modifier_0_wound_rolling.png,bd9c52d559ff0bfceb824d54e2e100129a1ac6bd
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Wound) (Rolling),text__0_wound_rolling,high,Attack Modifier (+0) (Wound) (Rolling),1342,134204,,cards/by_class/gh1_mod_json/berserker/134204_attack_modifier_0_wound_rolling.png,69d7e5c8219892dbc537202aea23243be0232f25
gh1_mod_json,gloomhaven,berserker,Berserker,(+0) (Wound) (Rolling),text__0_wound_rolling,high,Attack Modifier (+0) (Wound) (Rolling),1342,134205,,cards/by_class/gh1_mod_json/berserker/134205_attack_modifier_0_wound_rolling.png,c07160215d4b9cf07d00d304698135e9997621f2
gh1_mod_json,gloomhaven,berserker,Berserker,(+1),text__1,high,Attack Modifier (+1),1342,134200,,cards/by_class/gh1_mod_json/berserker/134200_attack_modifier_1.png,d92980600962e12b6909fa989f4f782754f67d9d
gh1_mod_json,gloomhaven,berserker,Berserker,(+1),text__1,high,Attack Modifier (+1),1342,134201,,cards/by_class/gh1_mod_json/berserker/134201_attack_modifier_1.png,57f6a6086a0d3d0b6342847fb52aa8ae1d51cbf5
gh1_mod_json,gloomhaven,berserker,Berserker,(+1) (Disarm) (Rolling),text__1_disarm_rolling,high,Attack Modifier (+1) (Disarm) (Rolling),1342,134212,,cards/by_class/gh1_mod_json/berserker/134212_attack_modifier_1_disarm_rolling.png,192e954b383ecf7f8ebcf7cd1a86c9585c8e34f4
gh1_mod_json,gloomhaven,berserker,Berserker,(+2) (Infuse Fire),text__2_infuse_fire,high,Attack Modifier (+2) (Infuse Fire),1342,134208,,cards/by_class/gh1_mod_json/berserker/134208_attack_modifier_2_infuse_fire.png,fe696d692d0d0771566685d920233aeab2d91831
gh1_mod_json,gloomhaven,berserker,Berserker,(+2) (Infuse Fire),text__2_infuse_fire,high,Attack Modifier (+2) (Infuse Fire),1342,134209,,cards/by_class/gh1_mod_json/berserker/134209_attack_modifier_2_infuse_fire.png,430a8bfa703eaf7d5d3388317c0878f3815e91f2
gh1_mod_json,gloomhaven,berserker,Berserker,(+2) (Rolling),text__2_rolling,high,Attack Modifier (+2) (Rolling),1342,134206,,cards/by_class/gh1_mod_json/berserker/134206_attack_modifier_2_rolling.png,9ebdad691f5efc15dd8dd7c8eeacdc669cdaee28
gh1_mod_json,gloomhaven,berserker,Berserker,(+2) (Rolling),text__2_rolling,high,Attack Modifier (+2) (Rolling),1342,134207,,cards/by_class/gh1_mod_json/berserker/134207_attack_modifier_2_rolling.png,c77cd58f724bc42a14623ff385b5ff1ea1b8349d
gh1_mod_json,gloomhaven,berserker,Berserker,Rapid Recovery,text__rapid_recovery,high,Rapid Recovery,1343,134300,,cards/by_class/gh1_mod_json/berserker/134300_rapid_recovery.png,0ea2a93141d0b81f9b9c02b46be69d93aabf107c
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0),text__0,high,Attack Modifier (+0),1345,134500,,cards/by_class/gh1_mod_json/bladeswarm/134500_attack_modifier_0.png,ae28f7bb6327077b55fcf7298c83a060891792e7
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1345,134511,,cards/by_class/gh1_mod_json/bladeswarm/134511_attack_modifier_0_heal_1_rolling.png,1b90b7fc09e60e7ca6e950ae3960a1b0a6a5c143
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1345,134512,,cards/by_class/gh1_mod_json/bladeswarm/134512_attack_modifier_0_heal_1_rolling.png,67ec03f423bf6cd0d1c636af16db023b6c4b4197
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1345,134513,,cards/by_class/gh1_mod_json/bladeswarm/134513_attack_modifier_0_heal_1_rolling.png,1d4c999b8c2ad2e26f2b6e32b0cc72b63e38726b
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Heal 1) (Rolling),text__0_heal_1_rolling,high,Attack Modifier (+0) (Heal 1) (Rolling),1345,134514,,cards/by_class/gh1_mod_json/bladeswarm/134514_attack_modifier_0_heal_1_rolling.png,8d2d61da828010767f1ba7821e0312ac797cf4a5
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Poison),text__0_poison,high,Attack Modifier (+0) (Poison),1345,134503,,cards/by_class/gh1_mod_json/bladeswarm/134503_attack_modifier_0_poison.png,a624ac2675a4c4af058f7f718f6f77cce41b5f8a
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Poison),text__0_poison,high,Attack Modifier (+0) (Poison),1345,134504,,cards/by_class/gh1_mod_json/bladeswarm/134504_attack_modifier_0_poison.png,6e5c3c866e6fd5c31bd01fd9ca018c4e2ed3a247
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Wound),text__0_wound,high,Attack Modifier (+0) (Wound),1345,134501,,cards/by_class/gh1_mod_json/bladeswarm/134501_attack_modifier_0_wound.png,91559631f56d85c08d18df084fd8560b84cf1e88
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+0) (Wound),text__0_wound,high,Attack Modifier (+0) (Wound),1345,134502,,cards/by_class/gh1_mod_json/bladeswarm/134502_attack_modifier_0_wound.png,e3df45d0ca16a052841bf5ac8feac27ee92ae15e
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1),text__1,high,Attack Modifier (+1),1345,134515,,cards/by_class/gh1_mod_json/bladeswarm/134515_attack_modifier_1.png,5edb64e75c9cf20cfb74518aa13bcefaced90043
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1),text__1,high,Attack Modifier (+1),1345,134516,,cards/by_class/gh1_mod_json/bladeswarm/134516_attack_modifier_1.png,15d3d71540dbe3c9b5b49dc5cba2fadf08eb4362
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1) (Infuse Air),text__1_infuse_air,high,Attack Modifier (+1) (Infuse Air),1345,134505,,cards/by_class/gh1_mod_json/bladeswarm/134505_attack_modifier_1_infuse_air.png,24d1f289851f5c49a8b7d48bd80738e58df3e48c
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1) (Infuse Dark),text__1_infuse_dark,high,Attack Modifier (+1) (Infuse Dark),1345,134508,,cards/by_class/gh1_mod_json/bladeswarm/134508_attack_modifier_1_infuse_dark.png,14326d456a88efa72d97a2d0097491b445a2386e
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1) (Infuse Earth),text__1_infuse_earth,high,Attack Modifier (+1) (Infuse Earth),1345,134506,,cards/by_class/gh1_mod_json/bladeswarm/134506_attack_modifier_1_infuse_earth.png,209e8919e3121e0f6ad890d6c33f9b7ba36a1d3c
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+1) (Infuse Light),text__1_infuse_light,high,Attack Modifier (+1) (Infuse Light),1345,134507,,cards/by_class/gh1_mod_json/bladeswarm/134507_attack_modifier_1_infuse_light.png,bc1ce3383223f0ae0e352d9c48525f37b1fe4cb8
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+2) (Muddle),text__2_muddle,high,Attack Modifier (+2) (Muddle),1345,134509,,cards/by_class/gh1_mod_json/bladeswarm/134509_attack_modifier_2_muddle.png,44ada992d38a2e7822458ea40834d3cf16d2b8ec
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,(+2) (Muddle),text__2_muddle,high,Attack Modifier (+2) (Muddle),1345,134510,,cards/by_class/gh1_mod_json/bladeswarm/134510_attack_modifier_2_muddle.png,970f884e72a039fdc4d9ee48f08c90757c758515
gh1_mod_json,gloomhaven,bladeswarm,Bladeswarm,Spinning Up,text__spinning_up,high,Spinning Up,1346,134600,,cards/by_class/gh1_mod_json/bladeswarm/134600_spinning_up.png,c71f31dbca538612a01409ce1c7dd812e1e327fc
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Add Target) (Rolling),text__0_add_target_rolling,high,Attack Modifier (+0) (Add Target) (Rolling),1348,134814,,cards/by_class/gh1_mod_json/brute/134814_attack_modifier_0_add_target_rolling.png,83a57f45ef75b2733d64a830c3fd355313b2de20
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Add Target) (Rolling),text__0_add_target_rolling,high,Attack Modifier (+0) (Add Target) (Rolling),1348,134815,,cards/by_class/gh1_mod_json/brute/134815_attack_modifier_0_add_target_rolling.png,7a056a3895a48710f93cafaeedd388d8a4ab4e02
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Disarm) (Rolling),text__0_disarm_rolling,high,Attack Modifier (+0) (Disarm) (Rolling),1348,134818,,cards/by_class/gh1_mod_json/brute/134818_attack_modifier_0_disarm_rolling.png,0a1895d0b1b9b402c50a5698f7061462d484fb09
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Muddle) (Rolling),text__0_muddle_rolling,high,Attack Modifier (+0) (Muddle) (Rolling),1348,134819,,cards/by_class/gh1_mod_json/brute/134819_attack_modifier_0_muddle_rolling.png,a7bf2e4607c3ec0e0ee40ec2a5d4d165f3c28943
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Pierce 3) (Rolling),text__0_pierce_3_rolling,high,Attack Modifier (+0) (Pierce 3) (Rolling),1348,134800,,cards/by_class/gh1_mod_json/brute/134800_attack_modifier_0_pierce_3_rolling.png,58e858ab972ac9fae32734dce8a535de9db8c029
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Pierce 3) (Rolling),text__0_pierce_3_rolling,high,Attack Modifier (+0) (Pierce 3) (Rolling),1348,134801,,cards/by_class/gh1_mod_json/brute/134801_attack_modifier_0_pierce_3_rolling.png,e0cf0ef61d2a49cf4e3d468755918f2cd537831e
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134802,,cards/by_class/gh1_mod_json/brute/134802_attack_modifier_0_push_1_rolling.png,fb21b8ea1e1cd54211041355c2b92cd195e2e4bc
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134803,,cards/by_class/gh1_mod_json/brute/134803_attack_modifier_0_push_1_rolling.png,ec4b7f83b2e8eb4bebeefd2d3f986b17f2d2405e
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134804,,cards/by_class/gh1_mod_json/brute/134804_attack_modifier_0_push_1_rolling.png,d7288294b6fac2e7de8efcb828300a996dffb192
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134805,,cards/by_class/gh1_mod_json/brute/134805_attack_modifier_0_push_1_rolling.png,1f81132e71599df07d9c857c382a199d00d5ea47
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134806,,cards/by_class/gh1_mod_json/brute/134806_attack_modifier_0_push_1_rolling.png,d3f6bd26108c4b615e8fad27f9223fa712434f25
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Push 1) (Rolling),text__0_push_1_rolling,high,Attack Modifier (+0) (Push 1) (Rolling),1348,134807,,cards/by_class/gh1_mod_json/brute/134807_attack_modifier_0_push_1_rolling.png,c4c70d10ca55a757be78c20fc5e549f4af8c3da9
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Stun) (Rolling),text__0_stun_rolling,high,Attack Modifier (+0) (Stun) (Rolling),1348,134816,,cards/by_class/gh1_mod_json/brute/134816_attack_modifier_0_stun_rolling.png,9806a1ab63e447777d001767b910c00248677860
gh1_mod_json,gloomhaven,brute,Brute,(+0) (Stun) (Rolling),text__0_stun_rolling,high,Attack Modifier (+0) (Stun) (Rolling),1348,134817,,cards/by_class/gh1_mod_json/brute/134817_attack_modifier_0_stun_rolling.png,2a3bbc813e4960adaa5adb377f2fb6bfa780467d
gh1_mod_json,gloomhaven,brute,Brute,(+1),text__1,high,Attack Modifier (+1),1348,134808,,cards/by_class/gh1_mod_json/brute/134808_attack_modifier_1.png,73b44a6b6fd75aefacf4c7a3ccb0a75dc81fc68a
gh1_mod_json,gloomhaven,brute,Brute,(+1),text__1,high,Attack Modifier (+1),1348,134809,,cards/by_class/gh1_mod_json/brute/134809_attack_modifier_1.png,89afe0122f26c1c0fc79e5703dca116a025da788
gh1_mod_json,gloomhaven,brute,Brute,(+1),text__1,high,Attack Modifier (+1),1348,134810,,cards/by_class/gh1_mod_json/brute/134810_attack_modifier_1.png,310dc5f259cbd0f0d74e819a41aebd25177dca5b
gh1_mod_json,gloomhaven,brute,Brute,(+1),text__1,high,Attack Modifier (+1),1348,134811,,cards/by_class/gh1_mod_json/brute/134811_attack_modifier_1.png,cc5fc856fd784a436e2026f7ed50e63edd88967c
